NH01,Vien Huyet hoc truyen mau TW,vienhhtmtu@gmail.com,09777701,"Pham Van Bach, Quan Cau Giay, Ha Noi"
NH02,Benh Vien Bach Mai,bvbachmai@gmaiil.com,09777702,"78 Giai Phong, Phuong Dinh, Quan Dong Da, Ha Noi"
NH03,Benh vien nhi TW,bvnhitw@gmail.com,09777703,"879 D. La Thanh, Lang Thuong, Quan Dong Da, Ha Noi"
NH04,Benh Vien TW108,BVTW108@gmail.com,09777704,"1B Tran Hung Dao, Bach Dang, Quan Hai Ba Trung, Ha Noi"
NH05,Dai hoc y Ha Noi,bvdaihocyhn@gmail.com,09777705,"1 Ton That Tung, Quan Dong Da, Ha Noi"
NH06,Benh vien Quoc te Vinmec,bvqtvinmec@gmail.com,09777706,"458 Minh Khai, Khu do thi Times City, Quan Hai Ba Trung, Ha Noi"
NH07,Benh vien Viet Phap,bvvietphap@gmai.com,09777707,"1 Phuong Mai, Quan Dong Da, Ha Noi"
NH08,Benh vien Quoc te Tam Anh,bvtamanh@gmail.com,09777708,"108 Hoang Nhu Tiep, Bo De, Quan Long Bien, Ha Noi"
NH09,Benh vien Quoc te Hong Ngoc,bvhongngoc@gmail.com,09777709,"55 Yen Ninh, Truc Bach, Quan Ba Dinh, Ha Noi"
NH10,Benh vien Quoc te Thu Cuc,bvthucuc@gmail.com,09777710,"286 Thuy Khue, Quan Tay Ho, Ha Noi"
NH11,Benh vien Viet Duc,bvvietduc@gmai.com,09777711,"40 Trang Thi, Hang Bong, Quan Hoan Kiem, Ha Noi"
