DD01,Diem hien mau so 1,diadiemhm1gmail.com,09888801,Bo y te,"Phuong Truc Bach, Quan Ba Dinh, Ha Noi"
DD02,Diem hien mau so 2,diadiemhm2gmail.com,09888802,Bo y te,"Phuong Giang Vo, Quan Ba Dinh, Ha Noi"
DD03,Diem hien mau so 3,diadiemhm3gmail.com,09888803,Bo y te,"Phuong Ly Thai To, Quan Hoan Kiem, Ha Noi"
DD04,Diem hien mau so 4,diadiemhm4gmail.com,09888804,Bo y te,"Phuong Hang Gai, Quan Hoan Kiem, Ha Noi"
DD05,Diem hien mau so 5,diadiemhm5gmail.com,09888805,Bo y te,"Phuong Hang Bai, Quan Hoan Kiem, Ha Noi"
DD06,Diem hien mau so 6,diadiemhm6gmail.com,09888806,Bo y te,"Phuong Nhat Tan, Quan Tay Ho, Ha Noi"
DD07,Diem hien mau so 7,diadiemhm7gmail.com,09888807,Bo y te,"Phuong Yen Phu, Quan Tay Ho, Ha Noi"
DD08,Diem hien mau so 8,diadiemhm8gmail.com,09888808,Bo y te,"Phuong Bo De, Quan Long Bien, Ha Noi"
DD09,Diem hien mau so 9,diadiemhm9gmail.com,09888809,So y te,"Phuong Long Bien, Quan Long Bien, Ha Noi"
DD10,Diem hien mau so 10,diadiemhm10gmail.com,09888810,So y te,"Phuong Dich Vong Hau, Quan Cau Giay, Ha Noi"
DD11,Diem hien mau so 11,diadiemhm11gmail.com,09888811,So y te,"Phuong Trung Hoa, Quan Cau Giay, Ha Noi"
DD12,Diem hien mau so 12,diadiemhm12gmail.com,09888812,So y te,"Phuong O Cho Dua, Quan Dong Da, Ha Noi"
DD13,Diem hien mau so 13,diadiemhm13gmail.com,09888813,So y te,"Phuong Phuong Mai, Quan Dong Da, Ha Noi"
DD14,Diem hien mau so 14,diadiemhm14gmail.com,09888814,So y te,"Phuong Nga Tu So, Quan Dong Da, Ha Noi"
DD15,Diem hien mau so 15,diadiemhm15gmail.com,09888815,So y te,"Phuong Vinh Tuy, Quan Hai Ba Trung, Ha Noi"
DD16,Diem hien mau so 16,diadiemhm16gmail.com,09888816,So y te,"Phuong Bach Mai, Quan Hai Ba Trung, Ha Noi"
DD17,Diem hien mau so 17,diadiemhm17gmail.com,09888817,So y te,"Phuong Pho Hue, Quan Hai Ba Trung, Ha Noi"
DD18,Diem hien mau so 18,diadiemhm18gmail.com,09888818,So y te,"Phuong Truong Dinh, Quan Hai Ba Trung, Ha Noi"
DD19,Diem hien mau so 19,diadiemhm19gmail.com,09888819,So y te,"Phuong Yet Kieu, Quan Ha Dong, Ha Noi"
DD20,Diem hien mau so 20,diadiemhm20gmail.com,09888820,So y te,"Phuong Giap Bat, Quan Hoang Mai, Ha Noi"
DD21,Diem hien mau so 21,diadiemhm21gmail.com,09888821,So y te,"Phuong Ha Dinh, Quan Thanh Xuan, Ha Noi"
DD22,Diem hien mau so 22,diadiemhm22gmail.com,09888822,So y te,"Phuong Phuong Liet, Quan Thanh Xuan, Ha Noi"
DD23,Diem hien mau so 23,diadiemhm23gmail.com,09888823,Bo y te,"Thi tran Soc Son, Huyen Soc Son, Ha Noi"
DD24,Diem hien mau so 24,diadiemhm24gmail.com,09888824,Bo y te,"Thi tran Dong Anh, Huyen Dong Anh, Ha Noi"
DD25,Diem hien mau so 25,diadiemhm25gmail.com,09888825,Bo y te,"Thi tran Yen Vien, Huyen Gia Lam, Ha Noi"
DD26,Diem hien mau so 26,diadiemhm26gmail.com,09888826,Bo y te,"Phuong Cau Dien, Quan Nam Tu Liem, Ha Noi"
DD27,Diem hien mau so 27,diadiemhm27gmail.com,09888827,Bo y te,"Thi tran Van Dien, Huyen Thanh Tri, Ha Noi"
DD28,Diem hien mau so 28,diadiemhm28gmail.com,09888828,Bo y te,"Phuong Co Nhue 1, Quan Bac Tu Liem, Ha Noi"
DD29,Diem hien mau so 29,diadiemhm29gmail.com,09888829,Bo y te,"Thi tran Quang Minh, Huyen Me Linh, Ha Noi"
DD30,Diem hien mau so 30,diadiemhm30gmail.com,09888830,Bo y te,"Phuong Ho Tung Mau, Quan Cau Giay, Ha Noi"
