20000001,CB000104
20000002,CB000810
20000003,CB000357
20000004,CB000432
20000005,CB000312
20000006,CB000164
20000007,CB000129
20000008,CB000873
20000009,CB000857
20000010,CB000337
20000011,CB000487
20000012,CB000400
20000013,CB000494
20000014,CB000229
20000015,CB000252
20000016,CB000144
20000017,CB000511
20000018,CB000545
20000019,CB000357
20000020,CB000448
20000021,CB000172
20000022,CB000142
20000023,CB000786
20000024,CB000953
20000025,CB000632
20000026,CB000926
20000027,CB000814
20000028,CB000627
20000029,CB000014
20000030,CB000427
20000031,CB000819
20000032,CB000630
20000033,CB000368
20000034,CB000422
20000035,CB000299
20000036,CB000644
20000037,CB000405
20000038,CB000681
20000039,CB000876
20000040,CB000813
20000041,CB000275
20000042,CB000610
20000043,CB000575
20000044,CB000139
20000045,CB000229
20000046,CB000664
20000047,CB000820
20000048,CB000735
20000049,CB000163
20000050,CB000946
20000051,CB000041
20000052,CB000765
20000053,CB000330
20000054,CB000882
20000055,CB000261
20000056,CB000378
20000057,CB000032
20000058,CB000726
20000059,CB000175
20000060,CB000367
20000061,CB000838
20000062,CB000310
20000063,CB000947
20000064,CB000077
20000065,CB000477
20000066,CB000272
20000067,CB000701
20000068,CB000005
20000069,CB000019
20000070,CB000282
20000071,CB000617
20000072,CB000439
20000073,CB000484
20000074,CB000797
20000075,CB000024
20000076,CB000172
20000077,CB000143
20000078,CB000308
20000079,CB000686
20000080,CB000924
20000081,CB000458
20000082,CB000070
20000083,CB000307
20000084,CB000455
20000085,CB000815
20000086,CB000368
20000087,CB000416
20000088,CB000521
20000089,CB000146
20000090,CB000512
20000091,CB000998
20000092,CB000752
20000093,CB000891
20000094,CB000875
20000095,CB000616
20000096,CB000157
20000097,CB000740
20000098,CB000587
20000099,CB000473
20000100,CB000170
20000101,CB000244
20000102,CB000681
20000103,CB000600
20000104,CB000250
20000105,CB000944
20000106,CB000900
20000107,CB000427
20000108,CB000274
20000109,CB000163
20000110,CB000104
20000111,CB000626
20000112,CB000228
20000113,CB000617
20000114,CB000796
20000115,CB000773
20000116,CB000248
20000117,CB000712
20000118,CB000458
20000119,CB000321
20000120,CB000132
20000121,CB000974
20000122,CB000346
