VCM01,Giao mau nhanh,giaomaunhanh@gmail.com,09666601,"Quan Hai Ba Trung, Ha Noi"
VCM02,Giao mau tiet kiem,giaomautietkiem@gmail.com,09666602,"Quan Dong Da, Ha Noi"
VCM03,VietNam Post,Vietnampost@gmail.com,09666603,"Quan Tay Ho, Ha Noi"
VCM04,Giao mau SuperShip,giaomausupership@gmail.com,09666604,"Quan Cau Giay, Ha Noi"
VCM05,247 Express,247express@gmail.com,09666605,"Quan Hoang Mai, Ha Noi"
VCM06,sShip,sship@gmail.com,09666606,"Quan Hoan Kiem, Ha Noi"
VCM07,ShipChung,shipchung@gmail.com,09666607,"Quan Hoan Kiem, Ha Noi"
VCM08,Kerry TTC Express,ttcexpress@gmail.com,09666608,"Quan Hoan Kiem, Ha Noi"
VCM09,Lalamove,lalamove@gmail.com,09666609,"Quan Dong Da, Ha Noi"
VCM10,Viettel Mau post,viettelpost@gmail.com,09666610,"Quan Ba Dinh, Ha Noi"
